"rowid","label","word"
1,"0","talk"
1,"0","girls"
1,"0","im"
1,"0","write"
1,"0","gay"
1,"0","centred"
1,"0","spinoff"
1,"0","asl"
2,"0","youre"
2,"0","matters"
2,"0","maryz"
2,"0","sleighz"
2,"0","yeah"
2,"0","hate"
2,"0","bein"
3,"0","kick"
3,"0","ass"
3,"0","fdo"
4,"0","confit"
4,"0","fat"
4,"0","saltier"
4,"0","pretty"
4,"0","salty"
4,"0","salty"
4,"0","im"
4,"0","deep"
4,"0","frying"
5,"1","shit"
5,"1","fool"
5,"1","fucking"
5,"1","tight"
5,"1","fro"
6,"0","book"
6,"0","im"
6,"0","confiting"
6,"0","pork"
6,"0","bellies"
6,"0","cryovacd"
6,"0","tenderloin"
6,"0","pig"
6,"0","fat"
7,"0","start"
7,"0","fight"
7,"0","finish"
7,"0","wait"
7,"0","live"
7,"0","die"
7,"0","damnhang"
8,"0","ass"
9,"1","damn"
9,"1","fool"
9,"1","youre"
9,"1","workhorse"
10,"1","damn"
10,"1","homie"
10,"1","highschool"
10,"1","homie"
10,"1","fuck"
10,"1","happened"
11,"0","im"
11,"0","attention"
11,"0","whore"
11,"0","matter"
11,"0","time"
11,"0","ny"
11,"0","gt"
11,"0","ca"
12,"1","welli"
12,"1","peeand"
12,"1","stupid"
12,"1","ass"
12,"1","lifted"
12,"1","seat"
12,"1","hand"
12,"1","holdin"
12,"1","phone"
12,"1","inthenploop"
13,"0","shirt"
13,"0","chopper"
13,"0","dave"
13,"0","hate"
13,"0","front"
13,"0","tomorrow"
13,"0","lol"
14,"0","hugz"
14,"0","yer"
14,"0","west"
14,"0","noon"
14,"0","sumpin"
14,"0","damn"
15,"0","agreed"
15,"0","snow"
15,"0","fine"
15,"0","ice"
15,"0","sucks"
15,"0","silly"
15,"0","drivers"
15,"0","road"
16,"0","occasionally"
16,"0","grape"
16,"0","fruits"
16,"0","personal"
16,"0","fave"
16,"0","stupid"
16,"0","ass"
16,"0","huge"
17,"0","austin"
17,"0","girl"
17,"0","fat"
17,"0","bastard"
17,"0","giggling"
17,"0","anticipation"
17,"0","kitty"
17,"0","kats"
17,"0","halloween"
17,"0","pics"
18,"0","aww"
18,"0","learning"
18,"0","process"
18,"0","sucks"
18,"0","hug"
19,"0","blow"
19,"0","manhattanite"
19,"0","ass"
19,"0","jeff"
19,"0","zucker"
