"rowid","content","content_clean","label","hashtags_count","mentions_count","url_count","content_length","vocab_richness","n_capital_letters","n_punctuation_marks","n_curses","unique_words","total_words","numbers_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","afinn_sentiment","verbs","adjectives","nouns"
1,"'How to Talk to Girls'. I'm going to write a gay centred spinoff  'How to ASL'","how to talk to girls im going to write a gay centred spinoff how to asl","0",0,0,0,78,0.75,6,6,1,12,16,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3
2,"'Turns out not where but who you're with that really matters.' ;) --- MaryZ41: @sleighz yeah  we all hate bein","turns out not where but who youre with that really matters maryz sleighz yeah we all hate bein","0",0,1,0,110,1,2,11,0,18,18,0,1,0,1,1,0,1,0,0,1,0,-1,4,0,1
3,"'you can do it!' kick ass fdo!","you can do it kick ass fdo","0",0,0,0,30,1,0,4,1,7,7,0,1,0,0,0,0,0,0,0,2,0,-4,1,0,3
4,"--- each confit will make the fat saltier (it's already pretty salty)  and when it gets too salty I'm deep frying with it.","each confit will make the fat saltier its already pretty salty and when it gets too salty im deep frying with it","0",0,0,0,122,1,1,8,0,20,22,0,0,1,1,0,1,1,0,1,1,1,1,5,2,2
5,"--- that shit right there fool ... is FUCKING TIGHT!!!! --- http://tinyurl.com/6fro26","that shit right there fool is fucking tight fro","1",0,0,0,85,0.916666666666667,2,18,1,9,9,0,1,0,2,0,0,0,0,0,2,0,-10,1,1,3
6,"--- you may be working from the same book as me; I'm confiting pork bellies (and then a cryovac'd tenderloin)  but in pig fat","you may be working from the same book as me im confiting pork bellies and then a cryovacd tenderloin but in pig fat","0",0,0,0,125,1,1,8,0,23,23,0,0,0,2,0,0,1,0,0,2,1,0,2,2,6
7,"-- ""Never start a fight; always finish one."" Wait. ""We live for the One  we die for the One."" Damn...hang on...","never start a fight always finish one wait we live for the one we die for the one damnhang on","0",0,0,0,111,0.904761904761905,6,16,0,15,20,0,1,2,0,2,0,1,0,0,3,0,-4,4,0,4
8,"-- but hopefully not the ass right?  :)","but hopefully not the ass right","0",0,0,0,39,1,0,5,1,6,6,0,0,0,0,0,0,0,0,0,1,0,-2,0,0,2
9,"-- damn fool. you're a 247 workhorse!","damn fool youre a workhorse","1",0,0,0,37,1,0,5,0,5,5,1,1,0,2,0,0,0,0,0,2,0,-6,1,0,1
10,"-- damn homie ... in highschool you was the man homie. fuck happened to you?","damn homie in highschool you was the man homie fuck happened to you","1",0,0,0,76,1,0,7,1,11,13,0,1,0,1,0,0,0,0,0,1,0,-8,1,1,3
11,"-- I'm an attention whore  man. It was only a matter of time. NY &gt; CA.","im an attention whore man it was only a matter of time ny gt ca","0",0,0,0,73,1,4,8,1,15,15,0,0,1,1,0,0,0,0,0,1,1,-3,0,0,7
12,"--well...i had to pee...and my stupid ass lifted the seat with the same hand i was holdin the phone in...then...PLOOP!!!","welli had to peeand my stupid ass lifted the seat with the same hand i was holdin the phone inthenploop","1",0,0,0,120,0.9,1,17,1,18,20,0,0,0,0,0,0,0,0,0,2,0,-6,3,2,5
13,"-  i have a shirt from chopper dave that says ""they made me hate"" on the front.  that could be the one for tomorrow.  LOL!","i have a shirt from chopper dave that says they made me hate on the front that could be the one for tomorrow lol","0",0,0,0,122,0.92,1,6,0,22,24,0,1,1,1,1,0,1,0,0,1,0,0,4,0,6
14,"- *hugz* ...and yer on the west so its only like noon or sumpin. damn.","hugz and yer on the west so its only like noon or sumpin damn","0",0,0,0,70,1,0,8,0,14,14,0,1,0,1,0,0,0,0,0,1,0,-2,0,0,6
15,"- Agreed  snow is fine  ice sucks (well  and all the silly drivers on the road) :)","agreed snow is fine ice sucks well and all the silly drivers on the road","0",0,0,0,82,0.941176470588235,1,5,0,14,15,0,0,0,0,0,1,0,0,1,1,1,-1,2,2,4
16,"- and occasionally ""grape fruits"" or my personal fave:  ""stupid ass huge""","and occasionally grape fruits or my personal fave stupid ass huge","0",0,0,0,73,1,0,6,1,11,11,0,0,0,0,0,0,0,0,1,2,0,-5,1,3,3
17,"- Austin Girl & Fat Bastard are giggling with anticipation over Kitty Kat's Halloween pics!","austin girl fat bastard are giggling with anticipation over kitty kats halloween pics","0",0,0,0,91,1,7,4,0,13,13,0,0,1,2,0,0,2,0,0,2,0,-4,1,0,7
18,"- Aww. I know. It's a learning process  and it sucks. *Hug*","aww i know its a learning process and it sucks hug","0",0,0,0,59,1,4,7,0,11,11,0,0,0,0,0,1,0,0,1,0,2,-1,3,0,1
19,"- blow it out your Manhattanite ass.  Jeff Zucker doesn't pay for all of our spa days at Garren NY.","blow it out your manhattanite ass jeff zucker doesnt pay for all of our spa days at garren ny","0",0,0,0,99,1,5,4,0,19,19,0,0,2,0,0,2,0,1,2,1,2,-5,2,0,8
20,"- can't hate the skins - their owner sucks - like Al davis - both need to retire - but not give it to their kids.","cant hate the skins their owner sucks like al davis both need to retire but not give it to their kids","0",0,0,0,113,0.769230769230769,1,7,0,19,21,0,1,0,1,1,0,1,0,0,1,0,-4,4,0,6
21,"- damn you and your constant banoffee pie mentions!! Very tempting LOL","damn you and your constant banoffee pie mentions very tempting lol","1",0,0,0,70,1,2,3,0,11,11,0,1,0,1,0,0,0,0,1,1,1,-1,2,1,2
22,"- damn! I almost bought those!","damn i almost bought those","0",0,0,0,30,1,1,3,0,5,5,0,1,0,1,0,0,0,0,0,1,0,-4,1,0,0
23,"- Daniel  are you doing any fat loss seminars in January? I've heard from lots of Aussies who want one! You'd be great!","daniel are you doing any fat loss seminars in january ive heard from lots of aussies who want one youd be great","0",0,0,0,119,1,5,6,0,22,22,0,1,0,1,1,0,2,0,0,2,0,1,3,3,6
24,"- Do you HATE Cleo!?  Let her win for once  you're breaking my heart!  ;)","do you hate cleo let her win for once youre breaking my heart","1",0,0,0,73,1,4,7,0,13,13,0,1,0,1,1,0,1,0,0,1,0,1,4,0,1
25,"- ergh I hate that! It's happened to me plenty times. D: Wear thick socks?","ergh i hate that its happened to me plenty times d wear thick socks","0",0,0,0,74,1,4,6,0,14,14,0,1,0,1,1,0,1,0,1,2,0,-3,3,1,3
26,"- Every time I see a new one of your blinkies up  I'm shocked. They are so damn cute and well done. :D","every time i see a new one of your blinkies up im shocked they are so damn cute and well done d","0",0,0,0,102,1,5,5,0,22,22,0,1,1,1,0,0,0,0,0,1,1,-4,2,3,3
27,"- Fat Bastard sends hugs for retweet on Austin Girl blog: http://austingirlblog.wordpress.com (need feedback on writing)","fat bastard sends hugs for retweet on austin girl blog need feedback on writing","1",0,0,0,120,0.9375,4,9,0,13,14,0,0,0,2,0,0,2,0,0,2,0,-3,1,1,9
28,"- French? No  he's Scottish by damn! lol","french no hes scottish by damn lol","0",0,0,0,40,1,3,4,0,7,7,0,1,0,1,0,0,0,0,0,1,0,-2,2,0,2
29,"- Fuck yeah!","fuck yeah","1",0,0,0,12,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,-3,1,0,0
30,"- fucking tweet already! WE NEED NC TWEETING!","fucking tweet already we need nc tweeting","0",0,0,0,45,1,4,3,1,7,7,0,0,0,0,0,0,0,0,0,0,0,-4,2,1,2
31,"- Ha ha  true ""Half a product is better than a half-ass product""  but I dont want http://www.vamooz.com/ to be both!!!","ha ha true half a product is better than a halfass product but i dont want to be both","0",0,0,0,118,0.952380952380952,3,13,0,16,19,0,0,0,0,0,0,0,0,0,0,0,7,1,2,3
32,"- hahaha .. you're silly! but dayum it's 10:22AM and i'm still kinda limping from my hip hurting THAT badly .. it sucks!","hahaha youre silly but dayum its am and im still kinda limping from my hip hurting that badly it sucks","1",0,0,0,120,0.956521739130435,1,11,0,20,20,1,1,0,0,1,1,2,0,0,3,0,-6,5,0,2
33,"- hate to break it to ya  but HD DVD is dead  u can still find cheap HD stuff  but it's not supported. Long live BluRay","hate to break it to ya but hd dvd is dead u can still find cheap hd stuff but its not supported long live bluray","0",0,0,0,119,0.884615384615385,5,3,0,22,25,0,1,1,1,1,0,1,1,0,2,1,-4,4,3,6
34,"- I'm gonna laugh during ROBOCOP - every time that guy says ""Dick Jones  I work for DICK JONES !!""     (aka D.W.)","im gonna laugh during robocop every time that guy says dick jones i work for dick jones aka dw","0",0,0,0,113,0.954545454545455,9,11,0,17,19,0,0,1,0,0,1,0,1,0,0,1,-7,4,2,4
35,"- I agree. No More SteveNotes. Damn!","i agree no more stevenotes damn","0",0,0,0,36,1,5,4,0,6,6,0,1,0,1,0,0,0,0,0,1,1,-4,1,1,1
36,"- I can't wait until I'm a high enough level so I can get something other than that damn osterich for my Blood Elf.","i cant wait until im a high enough level so i can get something other than that damn osterich for my blood elf","0",0,0,0,115,0.958333333333333,5,4,0,22,23,0,2,1,2,1,0,0,0,1,2,1,-4,3,3,5
37,"- I gotta say  I'm glad it works that way - I'd hate to be ""high"" all the time - I just want to be functional","i gotta say im glad it works that way id hate to be high all the time i just want to be functional","0",0,0,0,109,0.807692307692308,4,7,0,20,23,0,1,2,1,1,1,1,0,0,1,1,1,5,3,3
38,"- i wasn't on Twitter yesterday  so a belated ""for fuck's sake"" from me - man  what an unbelievable shitter. :-(","i wasnt on twitter yesterday so a belated for fucks sake from me man what an unbelievable shitter","0",0,0,0,112,0.952380952380952,1,10,0,18,18,0,0,0,0,0,0,0,0,0,2,0,-1,2,1,5
39,"- ice t  yes...never ice cube.  he's bad-ass.  was he cool?","ice t yesnever ice cube hes badass was he cool","0",0,0,0,59,0.909090909090909,0,9,0,9,10,0,0,0,0,0,0,0,0,1,0,1,-2,0,1,6
40,"- it's a sweet deal and product. Customer service sucks pooh tho.","its a sweet deal and product customer service sucks pooh tho","0",0,0,0,65,1,1,4,0,11,11,0,0,2,0,0,2,0,2,2,0,3,-1,1,1,5
41,"- Latest video kicked ass.  It's nice to know that some people know they have to put effort into listening. :)","latest video kicked ass its nice to know that some people know they have to put effort into listening","0",0,0,0,110,0.904761904761905,2,6,0,17,19,0,0,0,0,0,0,0,0,0,1,1,-1,7,2,3
